App;Architecture;Scenario;Interval_ms;Run;Avg_Latency_ms;Min_Latency_ms;Max_Latency_ms;P50_Latency_ms;P95_Latency_ms;P99_Latency_ms;Latency_Samples;Total_Updates;Measured_Duration_ms;CPU_Modal_percent;CPU_Peak_percent;RAM_Peak_MB;Total_Frames_Rendered;Janky_Frames_Count;Janky_Frames_Percent;Frame_P50_ms;Frame_P90_ms;Frame_P95_ms;Frame_P99_ms;Missed_Vsync_Count;Slow_UI_Thread_Count;Slow_Draw_Commands_Count
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;New Architecture;Real-time updates;50;1;28,14;20,53;46,48;27,82;33,03;35,54;1200;1201;59990;11;14;155;1427;141;9,88;17;20;21;23;0;141;0
RN;New Architecture;Real-time updates;50;2;28,14;20,55;36,4;27,99;33,71;35,37;1199;1200;60000;10;12;144,1;1428;88;6,16;16;19;20;23;0;88;1
RN;New Architecture;Real-time updates;50;3;28,34;20,12;43,23;28,07;33,39;35,02;1199;1200;59993;12;14;145,2;1427;75;5,26;16;19;20;22;0;75;0
RN;New Architecture;Real-time updates;50;4;28,31;19,92;37,38;28,04;33,76;35,2;1199;1200;59994;11;12;145,6;1428;76;5,32;16;19;20;22;0;76;0
RN;New Architecture;Real-time updates;50;5;28,29;20,28;38,93;27,92;33,86;35,58;1199;1200;59996;10;11;145,7;1428;58;4,06;16;18;19;22;0;58;0
RN;New Architecture;Real-time updates;50;6;28,22;20,31;39,84;27,96;33,52;35,31;1199;1200;59998;11;13;146,4;1428;82;5,74;16;19;20;22;0;82;0
RN;New Architecture;Real-time updates;50;7;28,41;20,08;44,17;28,11;33,68;35,47;1199;1200;59991;12;14;148,2;1427;94;6,59;16;19;20;23;0;94;1
RN;New Architecture;Real-time updates;50;8;28,18;20,44;37,92;27,88;33,44;35,12;1200;1201;60002;10;12;144,9;1428;69;4,83;16;18;20;22;0;69;0
RN;New Architecture;Real-time updates;50;9;28,36;19,97;41,56;28,03;33,81;35,63;1199;1200;59995;11;13;146,8;1427;78;5,47;16;19;20;22;0;78;0
RN;New Architecture;Real-time updates;50;10;28,27;20,19;38,64;27,94;33,57;35,29;1199;1200;59997;10;12;145,5;1428;64;4,48;16;18;19;22;0;64;0
;;;;;;;;;;;;;;;;;;;;;;;;;;
RN;New Architecture;Real-time updates;100;1;38,82;20,58;55,11;39,46;48,83;52,19;600;601;59997;7;8;144,6;730;376;51,51;20;26;27;31;0;374;74
RN;New Architecture;Real-time updates;100;2;38,94;21,26;49,52;38,11;46,65;48,11;600;601;59998;8;10;146;731;363;49,66;20;25;26;30;0;363;68
RN;New Architecture;Real-time updates;100;3;38,87;20,07;52,63;38,36;47,15;51,3;600;601;59994;8;9;143,2;731;405;55,4;20;26;27;30;0;405;113
RN;New Architecture;Real-time updates;100;4;39,07;20,94;52,93;38,06;46,42;48,79;600;601;60006;8;9;147,1;731;380;51,98;20;26;27;30;0;376;77
RN;New Architecture;Real-time updates;100;5;39,14;27,14;55;38,46;46,83;49,98;600;601;59992;7;8;145,3;730;408;55,89;20;26;27;30;0;407;95
RN;New Architecture;Real-time updates;100;6;38,96;20,74;53,48;38,28;46,91;49,62;600;601;59996;8;9;145,8;731;392;53,63;20;26;27;30;0;390;91
RN;New Architecture;Real-time updates;100;7;38,73;20,31;50,86;38,14;46,58;48,44;600;601;59999;7;9;144,1;730;371;50,82;20;25;26;30;0;369;72
RN;New Architecture;Real-time updates;100;8;39,21;21,05;54,72;38,51;47,64;51,07;600;601;60003;8;10;146,6;731;401;54,86;20;26;27;31;0;399;106
